Time,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/h-sl-meters
0,-115.796598299999999,37.0732289334607614,1393.54560000113543
0.008,-115.796621909144548,37.0732422905392056,1393.56915554121133
0.016,-115.796645518699094,37.0732556479661923,1393.59218493017261
0.024,-115.796669128627485,37.0732690057208387,1393.61467024692001
0.032,-115.796692738927064,37.0732823638018729,1393.63662088404908
0.04,-115.796716349635489,37.0732957222294601,1393.65807647735778
0.048,-115.796739960795037,37.0733090810254069,1393.67907698171143
0.056,-115.796763572448597,37.0733224402110935,1393.69965895465316
0.064,-115.796787184630176,37.0733357998016402,1393.71985151867875
0.072,-115.796810797344151,37.0733491597948017,1393.73965232223281
0.08,-115.796834410571549,37.0733625201747969,1393.75904209641521
0.088,-115.796858024289534,37.0733758809234999,1393.77800036191638
0.096,-115.796881638482574,37.0733892420269271,1393.7965144378245
0.104,-115.796905253147884,37.0734026034784279,1393.8145831829936
0.112,-115.796928868294827,37.0734159652784356,1393.83221553469616
0.12,-115.796952483940174,37.0734293274317963,1393.84942577258357
0.128,-115.796976100101745,37.0734426899442866,1393.86622800371651
0.136,-115.796999716794218,37.0734560528206814,1393.88263200788515
0.144,-115.797023334025653,37.0734694160621672,1393.89864159912781
0.152,-115.797046951797697,37.0734827796661719,1393.91425532972221
0.16,-115.797070570108176,37.0734961436282191,1393.92946863735619
0.168,-115.797094188953864,37.0735095079434771,1393.94427632953239
0.176,-115.797117808332857,37.0735228726080663,1393.95867443324641
0.184,-115.797141428245496,37.0735362376195923,1393.97266093304165
0.192,-115.797165048694382,37.0735496029770104,1393.98623544285897
0.2,-115.797188669683237,37.0735629686801289,1393.99939820568875
0.208,-115.797212291215757,37.0735763347287417,1394.01214899330148
0.216,-115.797235913294458,37.0735897011221596,1394.02448629665969
0.224,-115.797259535920361,37.0736030678588122,1394.03640703183123
0.232,-115.797283159093141,37.0736164349364969,1394.04790674550827
0.24,-115.797306782811532,37.0736298023525777,1394.05898010553119
0.248,-115.7973304070739,37.0736431701040487,1394.06962147202808
0.256,-115.797354031879308,37.0736565381889349,1394.07982526303545
0.264,-115.797377657226704,37.0736699066046143,1394.08958618613497
0.272,-115.797401283115391,37.0736832753486922,1394.09889916464704
0.28,-115.797424909544887,37.073696644418817,1394.10775914119495
0.288,-115.797448536514523,37.073710013812601,1394.11616087672724
0.296,-115.797472164023418,37.0737233835274793,1394.12409879722895
0.304,-115.797495792070293,37.0737367535606737,1394.13156695738735
0.312,-115.797519420653586,37.0737501239092708,1394.13855909963559
0.32,-115.797543049771534,37.0737634945703078,1394.14506878132534
0.328,-115.797566679422303,37.073776865540836,1394.15108948032571
0.336,-115.797590309604089,37.0737902368178638,1394.1566147142471
0.344,-115.797613940315159,37.0738036083985278,1394.16163805747328
0.352,-115.797637571553835,37.0738169802800144,1394.16615314002638
0.36,-115.797661203318398,37.0738303524595167,1394.17015360441815
0.368,-115.7976848356071,37.0738437249342425,1394.17363306477364
0.376,-115.797708468418193,37.0738570977014206,1394.17658507276769
0.384,-115.797732101749702,37.073870470758223,1394.1790031085402
0.392,-115.797755735599523,37.0738838441018146,1394.18088059659317
0.4,-115.797779369965554,37.073897217729332,1394.1822109205516
0.408,-115.797803004845747,37.0739105916380112,1394.18298748902089
0.416,-115.797826640239904,37.0739239658262179,1394.18320408758223
0.424,-115.797850276148523,37.0739373402927157,1394.18285466759517
0.432,-115.79787391257203,37.0739507150362613,1394.18193318155409
0.44,-115.797897549510665,37.0739640900555969,1394.1804334298015
0.448,-115.797921186963634,37.0739774653488467,1394.17834850868894
0.456,-115.797944824929516,37.0739908409139147,1394.17567115689531
0.464,-115.797968463406903,37.0740042167487474,1394.17239429591018
0.472,-115.797992102394602,37.0740175928513764,1394.16851120035358
0.48,-115.798015741891561,37.0740309692199901,1394.16401542076483
0.488,-115.798039381896814,37.0740443458528972,1394.15890069389957
0.496,-115.798063022409721,37.0740577227490178,1394.15316088141503
0.504,-115.798086663429473,37.0740710999070586,1394.14678998917339
0.512,-115.798110304954747,37.074084477325151,1394.13978220811782
0.52,-115.79813394698435,37.0740978550015541,1394.13213195060803
0.528,-115.798157589517089,37.0741112329345484,1394.1238338844837
0.536,-115.798181232551968,37.0741246111225493,1394.11488293079447
0.544,-115.798204876087937,37.0741379895640151,1394.10527426039289
0.552,-115.798228520124113,37.0741513682574748,1394.0950032871217
0.56,-115.798252164659559,37.0741647472015572,1394.08406563488552
0.568,-115.798275809693521,37.0741781263949193,1394.0724571342439
0.576,-115.798299455225148,37.0741915058363887,1394.06017377699322
0.584,-115.798323101253374,37.0742048855246011,1394.04721151178182
0.592,-115.798346747776847,37.0742182654581356,1394.03356634970919
0.6,-115.798370394794361,37.0742316456356988,1394.01923454145799
0.608,-115.798394042304764,37.0742450260560616,1394.00421263747512
0.616,-115.798417690306977,37.0742584067180374,1393.98849744822996
0.624,-115.798441338799975,37.0742717876205035,1393.97208600787826
0.632,-115.798464987782793,37.0742851687624366,1393.95497554701274
0.64,-115.798488637254408,37.074298550142835,1393.93716349606825
0.648,-115.798512287213825,37.0743119317606613,1393.91864749099909
0.656,-115.798535937660176,37.0743253136150273,1393.89942539031222
0.664,-115.798559588592553,37.0743386957050518,1393.87949527960723
0.672,-115.798583240010217,37.0743520780300173,1393.85885546703639
0.68,-115.798606891912371,37.0743654605891066,1393.83750447421971
0.688,-115.798630544298376,37.0743788433816377,1393.81544102602606
0.696,-115.798654197167622,37.0743922264069994,1393.7926640437604
0.704,-115.798677850519539,37.074405609664673,1393.76917263040241
0.712,-115.798701504353616,37.0744189931540902,1393.74496606265916
0.72,-115.798725158669242,37.0744323768747464,1393.72004377733765
0.728,-115.798748813466034,37.0744457608261868,1393.69440536794082
0.736,-115.798772468743564,37.0744591450081202,1393.66805058125851
0.744,-115.798796124501337,37.0744725294200492,1393.64097930601542
0.752,-115.798819780738938,37.0744859140616256,1393.6131915740043
0.76,-115.798843437455957,37.0744992989325226,1393.58468754305545
0.768,-115.798867094652053,37.0745126840324417,1393.55546750952612
0.776,-115.798890752326884,37.0745260693611698,1393.52553189126866
0.784,-115.798914410480123,37.0745394549184724,1393.49488123330775
0.792,-115.798938069111387,37.0745528407041576,1393.46351619762186
0.8,-115.798961728220476,37.074566226718062,1393.43143756427776
0.808,-115.798985387807079,37.0745796129600436,1393.3986462302953
0.816,-115.799009047870911,37.0745929994299885,1393.36514319829348
0.824,-115.799032708411744,37.0746063861277904,1393.33092958557313
0.832,-115.799056369429394,37.0746197730534064,1393.29600661616928
0.84,-115.799080030923662,37.0746331602068366,1393.26037561290264
0.848,-115.799103692894434,37.0746465475881095,1393.22403800646362
0.856,-115.799127355341525,37.0746599351972534,1393.18699532292203
0.864,-115.799151018264837,37.0746733230342898,1393.14924918031988
0.872,-115.799174681664226,37.0746867110992895,1393.11080129775701
0.88,-115.799198345539722,37.0747000993924516,1393.07165347608634
0.888,-115.799222009891196,37.0747134879138258,1393.0318076149465
0.896,-115.799245674718691,37.0747268766636111,1392.99126568778161
0.904,-115.799269340022164,37.0747402656419709,1392.95002975546731
0.912,-115.799293005801644,37.074753654849097,1392.90810196176767
0.92,-115.799316672057174,37.0747670442852382,1392.86548452425313
0.928,-115.79934033878888,37.0747804339506786,1392.82217974111154
0.936,-115.799364005996793,37.0747938238456811,1392.77818997638838
0.944,-115.799387673681068,37.0748072139704874,1392.73351766793439
0.952,-115.799411341841804,37.0748206043254527,1392.68816531945777
0.96,-115.799435010479172,37.0748339949108896,1392.64213550506543
0.968,-115.799458679593357,37.0748473857271676,1392.59543086131521
0.976,-115.799482349184586,37.0748607767746563,1392.54805408380935
0.984,-115.799506019253016,37.0748741680537393,1392.50000793287154
0.992,-115.799529689798945,37.0748875595647931,1392.45129521992203
1,-115.799553360822586,37.0749009513082655,1392.40191881428973
1.008,-115.799577032324407,37.0749143432847958,1392.35188164661827
1.016,-115.799600704304623,37.0749277354947466,1392.3011866895647
1.024,-115.799624376763433,37.0749411279384589,1392.24983696915206
1.032,-115.79964804970119,37.0749545206164015,1392.19783555795857
1.04,-115.799671723118266,37.0749679135290791,1392.14518557398037
1.048,-115.799695397015071,37.0749813066770812,1392.09189018858092
1.056,-115.799719071391934,37.0749947000608415,1392.03795260491665
1.064,-115.799742746249294,37.0750080936808573,1391.98337607496978
1.072,-115.799766421587492,37.0750214875376685,1391.92816389273412
1.08,-115.79979009740704,37.0750348816318436,1391.8723193817259
1.088,-115.799813773708337,37.0750482759639297,1391.81584590633815
